ESC
F1
F2
F3
F4
F5
F6
F7
F8
F9
F10
F11
F12
PRT_SCR
SCR_LOCK
PAUSE
~
1
2
3
4
5
6
7
8
9
0
-
=
BK_SPC
INS
HOME
PG_UP
TAB
q
w
e
r
t
y
u
i
o
p
[
]
\
DEL
END
PG_DN
CAPS
a
s
d
f
g
h
j
k
l
;
'
ENTER
L_SHIFT
z
x
c
v
b
n
m
,
.
/
R_SHIFT
UP_ARROW
L_CTRL
L_GUI
L_ALT
SPACE
R_ALT
FN
R_GUI
R_CTRL
LEFT_ARROW
DOWN_ARROW
RIGHT_ARROW
